                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1958,                 1.1803,                 1.3497,                 1.2877,                 1.2941,                 1.3531,                0.68299,                0.63964,                0.70406,                0.39235,                 1.4294,                 1.1803,                 1.5284,                 1.5056,                 1.1636,                 1.5359,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.1642,                 1.1615,                 1.3189,                 1.2539,                 1.2706,                 1.3288,                0.68329,                0.65303,                0.71505,                0.40167,                 1.4218,                 1.1899,                 1.5059,                 1.4785,                 1.2003,                 1.5167,             0.00061033,             0.00061033,             0.00061033
                     25,                 1.1505,                 1.1238,                 1.3119,                 1.2441,                  1.208,                 1.3073,                0.65655,                0.65913,                0.70497,                 0.3982,                 1.4004,                 1.2067,                 1.4813,                 1.4626,                 1.2127,                 1.4897,             0.00060561,             0.00060561,             0.00060561
                     26,                 1.1404,                 1.0834,                 1.3061,                 1.2362,                 1.1658,                 1.3112,                0.65233,                 0.6864,                0.71833,                 0.4035,                  1.404,                 1.1539,                 1.4747,                 1.4805,                 1.1372,                 1.5001,              0.0006009,              0.0006009,              0.0006009
                     27,                 1.1274,                 1.0997,                  1.288,                 1.2119,                 1.1928,                 1.2839,                0.67604,                0.61904,                0.69743,                0.39343,                 1.3936,                 1.1954,                 1.5154,                 1.4531,                  1.189,                 1.5167,             0.00059619,             0.00059619,             0.00059619
                     28,                 1.1091,                 1.0883,                 1.2792,                 1.1987,                 1.1875,                 1.2755,                0.68333,                 0.6199,                 0.6836,                 0.3943,                 1.3801,                 1.2752,                 1.4719,                 1.4331,                 1.2723,                 1.4728,             0.00059148,             0.00059148,             0.00059148
                     29,                 1.1254,                 1.0694,                 1.2984,                 1.2125,                 1.1582,                 1.2963,                0.68296,                0.64868,                0.70863,                0.40176,                 1.3916,                 1.1583,                 1.4758,                 1.4498,                 1.1692,                 1.4805,             0.00058677,             0.00058677,             0.00058677
                     30,                 1.1242,                 1.0757,                 1.2879,                 1.2219,                 1.1561,                 1.2981,                0.70343,                0.66584,                0.72598,                0.41566,                 1.3712,                  1.132,                 1.4699,                 1.4484,                 1.1577,                 1.4861,             0.00058205,             0.00058205,             0.00058205
                     31,                 1.0955,                 1.0118,                 1.2675,                  1.176,                 1.0793,                 1.2632,                 0.6948,                 0.6599,                0.72472,                0.40652,                  1.392,                 1.1343,                 1.4846,                 1.4698,                 1.1446,                 1.5001,             0.00057734,             0.00057734,             0.00057734
                     32,                 1.1131,                 1.0576,                 1.2884,                 1.2046,                 1.1517,                 1.2846,                0.68501,                0.66635,                0.71594,                0.39922,                 1.4246,                 1.1372,                 1.5106,                 1.4866,                 1.1686,                 1.5265,             0.00057263,             0.00057263,             0.00057263
                     33,                  1.099,                 1.0187,                  1.268,                 1.1903,                 1.0984,                 1.2683,                0.66151,                0.66969,                0.71838,                0.41461,                 1.3701,                 1.1961,                 1.4574,                 1.4336,                 1.1812,                 1.4777,             0.00056792,             0.00056792,             0.00056792
                     34,                 1.0922,                 1.0326,                 1.2837,                 1.1657,                 1.1245,                 1.2725,                0.73176,                0.65463,                0.73612,                0.42379,                 1.3846,                 1.1255,                 1.4755,                 1.4476,                 1.1439,                 1.4907,              0.0005632,              0.0005632,              0.0005632
                     35,                 1.0645,                0.99278,                 1.2616,                 1.1539,                 1.0896,                 1.2638,                0.69309,                0.68607,                0.73257,                  0.425,                 1.3635,                 1.1077,                 1.4667,                 1.4263,                 1.1117,                 1.4777,             0.00055849,             0.00055849,             0.00055849
                     36,                 1.0803,                0.98641,                 1.2575,                 1.1681,                  1.058,                 1.2567,                0.68171,                 0.6832,                0.74605,                 0.4263,                 1.3749,                 1.0907,                 1.4699,                 1.4437,                 1.0995,                 1.4805,             0.00055378,             0.00055378,             0.00055378
                     37,                  1.066,                0.97352,                 1.2515,                 1.1527,                 1.0617,                 1.2566,                0.70082,                0.70809,                 0.7603,                0.43149,                 1.3625,                 1.0851,                 1.4717,                 1.4426,                 1.0668,                 1.4934,             0.00054907,             0.00054907,             0.00054907
                     38,                 1.0797,                0.96869,                 1.2444,                 1.1711,                 1.0432,                 1.2484,                0.74072,                 0.5985,                0.70503,                0.40064,                 1.3981,                 1.2127,                 1.4879,                 1.4451,                 1.2422,                 1.4825,             0.00054435,             0.00054435,             0.00054435
                     39,                  1.034,                0.95475,                 1.2413,                 1.1198,                 1.0285,                 1.2425,                 0.7127,                0.67136,                 0.7399,                0.41943,                 1.3658,                 1.1006,                 1.4739,                 1.4321,                 1.1405,                 1.4874,             0.00053964,             0.00053964,             0.00053964
                     40,                 1.0651,                0.97108,                 1.2488,                 1.1488,                 1.0473,                 1.2552,                0.68229,                0.68374,                0.73571,                0.42562,                 1.3549,                 1.1175,                 1.4702,                 1.4284,                 1.1484,                 1.4892,             0.00053493,             0.00053493,             0.00053493
                     41,                 1.0446,                0.94929,                 1.2461,                 1.1301,                 1.0061,                  1.244,                0.71571,                0.68362,                0.74507,                0.42497,                 1.3876,                 1.1408,                 1.4857,                 1.4618,                 1.1304,                 1.4958,             0.00053022,             0.00053022,             0.00053022
                     42,                 1.0147,                0.90847,                 1.2212,                 1.1105,                0.96384,                 1.2295,                0.71056,                0.67597,                 0.7336,                0.40626,                 1.4514,                 1.0775,                 1.5351,                  1.533,                 1.1072,                 1.5467,              0.0005255,              0.0005255,              0.0005255
                     43,                 1.0073,                 0.9131,                 1.2272,                 1.0989,                0.97764,                 1.2309,                0.72895,                0.68951,                0.74417,                0.41924,                 1.4245,                 1.0723,                 1.5268,                 1.4679,                 1.1172,                 1.5183,             0.00052079,             0.00052079,             0.00052079
                     44,                 1.0165,                0.89963,                 1.2116,                 1.0963,                0.97083,                 1.2149,                0.67393,                0.65665,                0.70418,                0.39518,                 1.4059,                 1.1649,                 1.4885,                 1.4697,                 1.1942,                 1.4961,             0.00051608,             0.00051608,             0.00051608
                     45,                 1.0216,                0.88713,                 1.2349,                 1.1132,                0.96994,                 1.2513,                0.73812,                0.68237,                0.74355,                0.42535,                 1.3929,                 1.0934,                 1.4875,                 1.4568,                 1.1145,                 1.5012,             0.00051137,             0.00051137,             0.00051137
                     46,                 1.0046,                0.89871,                 1.2143,                 1.0963,                0.97676,                 1.2347,                0.72183,                0.65474,                 0.7231,                 0.4116,                 1.3817,                 1.1132,                 1.4807,                 1.4385,                 1.1701,                 1.4862,             0.00050665,             0.00050665,             0.00050665
                     47,                0.98919,                0.85022,                 1.2012,                  1.071,                0.90793,                 1.2123,                0.72687,                 0.7007,                0.75243,                 0.4402,                 1.3348,                 1.0238,                 1.4463,                 1.3889,                  1.075,                 1.4585,             0.00050194,             0.00050194,             0.00050194
                     48,                 1.0151,                0.90566,                 1.2266,                 1.1042,                 1.0056,                 1.2324,                0.72954,                0.66644,                0.74708,                0.43238,                 1.3515,                 1.0504,                 1.4561,                 1.3925,                 1.0983,                 1.4611,             0.00049723,             0.00049723,             0.00049723
                     49,                 1.0243,                0.89083,                 1.2172,                  1.117,                0.96705,                 1.2216,                0.72873,                0.69973,                0.76067,                0.44188,                  1.383,                 1.0024,                 1.4754,                 1.4341,                 1.0538,                 1.4872,             0.00049252,             0.00049252,             0.00049252
                     50,                0.97996,                0.87613,                 1.2008,                 1.0774,                0.93945,                 1.2053,                0.74166,                0.65656,                0.73203,                0.42457,                 1.3808,                 1.0814,                 1.5039,                 1.4345,                 1.0948,                 1.5009,              0.0004878,              0.0004878,              0.0004878
                     51,                 0.9702,                0.85965,                 1.1987,                 1.0624,                0.92544,                 1.2068,                0.70993,                0.69279,                 0.7502,                 0.4322,                 1.3503,                 1.0541,                 1.4688,                 1.4152,                 1.0961,                 1.4832,             0.00048309,             0.00048309,             0.00048309
                     52,                0.95989,                0.84307,                 1.1945,                 1.0529,                0.90603,                 1.1976,                0.71745,                0.69938,                0.75727,                0.43128,                 1.3579,                 1.0241,                 1.4795,                 1.4076,                 1.0421,                 1.4799,             0.00047838,             0.00047838,             0.00047838
                     53,                0.99691,                0.86293,                 1.1945,                 1.0902,                0.92336,                 1.2013,                0.74701,                0.70139,                0.77021,                0.44144,                  1.359,                 1.0381,                 1.4629,                 1.4223,                 1.0454,                  1.474,             0.00047367,             0.00047367,             0.00047367
                     54,                 1.0085,                0.85833,                 1.2211,                 1.0962,                0.90527,                 1.2266,                0.73567,                0.69232,                0.75673,                0.44366,                  1.378,                 1.0473,                 1.4787,                 1.4195,                 1.0836,                 1.4727,             0.00046896,             0.00046896,             0.00046896
                     55,                0.95235,                0.80217,                  1.178,                 1.0388,                0.85708,                 1.1892,                0.74252,                 0.6832,                0.75502,                0.43132,                 1.4028,                 1.0359,                 1.5234,                 1.4579,                 1.0786,                 1.5293,             0.00046424,             0.00046424,             0.00046424
                     56,                0.94285,                0.79011,                 1.1679,                 1.0429,                0.84615,                 1.1772,                0.76521,                0.69329,                0.76663,                0.44833,                 1.3796,                 1.0214,                 1.4717,                 1.4309,                 1.0645,                 1.4796,             0.00045953,             0.00045953,             0.00045953
                     57,                0.96169,                0.80624,                 1.1895,                 1.0393,                0.86295,                 1.1995,                0.71334,                0.68554,                0.74883,                0.43479,                 1.3642,                 1.0421,                 1.4773,                 1.4206,                  1.088,                 1.4792,             0.00045482,             0.00045482,             0.00045482
                     58,                 0.9618,                 0.8169,                 1.1918,                 1.0471,                0.89027,                 1.2051,                0.76084,                 0.6643,                0.75623,                0.44657,                 1.3406,                 1.0042,                 1.4734,                 1.4115,                 1.0398,                 1.4844,             0.00045011,             0.00045011,             0.00045011
                     59,                0.93573,                  0.781,                 1.1678,                 1.0302,                 0.8479,                 1.1815,                0.71985,                0.68219,                0.75097,                0.42396,                 1.3895,                  1.053,                   1.49,                 1.4552,                 1.1232,                 1.5073,             0.00044539,             0.00044539,             0.00044539
                     60,                0.95505,                0.78467,                 1.1665,                 1.0445,                0.83602,                 1.1785,                0.71867,                0.70743,                0.75892,                0.44401,                 1.3599,                 1.0027,                 1.4768,                 1.4155,                 1.0666,                 1.4883,             0.00044068,             0.00044068,             0.00044068
                     61,                0.90668,                0.76779,                 1.1539,                 1.0048,                0.83069,                 1.1684,                0.71298,                0.74764,                0.77907,                0.45975,                  1.347,                0.95014,                 1.4688,                 1.3861,                0.99319,                 1.4617,             0.00043597,             0.00043597,             0.00043597
                     62,                0.88966,                0.73774,                 1.1458,                0.98345,                0.78715,                  1.158,                0.74456,                 0.6907,                0.76616,                0.44688,                 1.3635,                0.99505,                 1.4916,                  1.419,                 1.0504,                 1.4974,             0.00043126,             0.00043126,             0.00043126
                     63,                 0.9098,                0.74155,                 1.1558,                0.99709,                0.78853,                 1.1696,                0.76157,                0.66768,                 0.7523,                0.42837,                 1.4068,                 1.0355,                 1.5058,                 1.4691,                 1.0888,                 1.5229,             0.00042654,             0.00042654,             0.00042654
                     64,                0.92386,                 0.7702,                 1.1504,                 1.0127,                0.82474,                 1.1632,                0.73696,                0.71601,                0.78232,                0.45975,                 1.3584,                 0.9789,                 1.4699,                  1.427,                0.99563,                 1.4819,             0.00042183,             0.00042183,             0.00042183
                     65,                0.89925,                0.73989,                 1.1512,                0.98372,                0.79343,                 1.1642,                0.74467,                 0.7014,                0.77024,                0.45151,                 1.3547,                0.99652,                 1.4819,                 1.4078,                 1.0478,                 1.4896,             0.00041712,             0.00041712,             0.00041712
                     66,                0.90776,                0.75206,                 1.1592,                0.99627,                0.80729,                 1.1739,                0.75731,                0.69801,                0.76934,                0.44791,                 1.3604,                 1.0045,                 1.4899,                  1.434,                 1.0611,                 1.5043,             0.00041241,             0.00041241,             0.00041241
                     67,                0.91649,                0.74477,                 1.1618,                   1.01,                0.79197,                 1.1798,                0.74086,                0.69442,                0.74972,                0.43955,                 1.3919,                 1.0293,                 1.5076,                 1.4471,                 1.0939,                 1.5176,             0.00040769,             0.00040769,             0.00040769
                     68,                0.90296,                0.74579,                 1.1568,                0.99603,                0.77546,                 1.1703,                0.75685,                0.65744,                 0.7614,                0.44736,                 1.3611,                 1.0142,                 1.4893,                 1.4215,                 1.0783,                 1.4963,             0.00040298,             0.00040298,             0.00040298
                     69,                0.90385,                0.73184,                 1.1463,                0.99417,                0.76708,                 1.1568,                0.71064,                0.72562,                0.76937,                0.44942,                 1.3454,                0.98808,                 1.4616,                 1.4162,                 1.0262,                 1.4778,             0.00039827,             0.00039827,             0.00039827
                     70,                0.87946,                0.71483,                 1.1269,                0.96647,                0.76287,                 1.1342,                0.73617,                0.68804,                0.76182,                0.44155,                 1.3939,                 1.0025,                 1.5252,                 1.4448,                 1.0567,                 1.5209,             0.00039356,             0.00039356,             0.00039356
                     71,                0.89263,                0.71548,                 1.1399,                0.97864,                0.76214,                 1.1493,                0.75905,                0.69021,                0.76777,                0.44548,                 1.3673,                0.99173,                 1.4908,                 1.4287,                  1.066,                 1.4962,             0.00038884,             0.00038884,             0.00038884
