                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0887,                 1.1216,                 1.2563,                 1.1305,                 1.4181,                 1.2141,                0.61193,                0.45281,                0.52086,                0.27642,                 1.4545,                 1.5985,                 1.5478,                 1.4521,                 1.9142,                 1.4857,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.0985,                 1.1136,                 1.2511,                 1.1259,                 1.3731,                  1.206,                0.62824,                0.55075,                0.59011,                 0.3204,                 1.4305,                 1.3952,                 1.5379,                 1.4406,                 1.7428,                 1.5097,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.0824,                 1.0928,                 1.2413,                 1.1327,                  1.351,                 1.2046,                0.65078,                0.59109,                0.63305,                0.34776,                 1.4174,                 1.2899,                 1.4999,                 1.4206,                  1.589,                 1.4622,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.0961,                 1.0658,                 1.2438,                 1.1428,                 1.3063,                 1.2093,                  0.649,                0.57218,                 0.5915,                0.31964,                 1.4445,                 1.3883,                  1.563,                 1.4584,                  1.633,                 1.5137,             0.00054435,             0.00054435,             0.00054435
                     27,                  1.099,                 1.1059,                 1.2497,                 1.1408,                 1.3608,                 1.2121,                0.65996,                0.54427,                 0.6085,                0.32402,                 1.4351,                 1.4071,                 1.5001,                 1.4277,                 1.6791,                 1.4592,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.0659,                 1.0569,                 1.2216,                 1.1192,                 1.2834,                 1.1885,                 0.6486,                 0.5629,                0.61434,                0.33917,                 1.4512,                 1.3353,                 1.5383,                 1.4474,                 1.5654,                 1.4875,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.0865,                 1.0502,                  1.243,                 1.1314,                 1.2872,                 1.2055,                0.64567,                0.55506,                0.60452,                0.32198,                 1.5159,                 1.4209,                 1.5759,                 1.5137,                 1.6584,                 1.5399,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.0642,                 1.0149,                 1.2343,                 1.1211,                 1.2329,                 1.2112,                0.58543,                0.55103,                0.55601,                0.30621,                 1.4299,                 1.4664,                 1.5062,                 1.4269,                 1.7086,                 1.4625,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.0667,                 1.0236,                 1.2306,                 1.1235,                 1.2416,                 1.2018,                0.66919,                0.59507,                0.65813,                0.37649,                 1.3462,                 1.2624,                 1.4245,                 1.3832,                 1.4539,                 1.4098,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.0642,                 1.0035,                 1.2224,                 1.1302,                 1.2108,                 1.1963,                 0.6424,                0.57556,                0.62578,                  0.349,                 1.4867,                 1.3495,                 1.5229,                 1.4769,                 1.5461,                 1.4819,             0.00050194,             0.00050194,             0.00050194
