                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2886,                 1.2168,                 1.4038,                 1.3104,                 1.3721,                 1.3838,                0.52674,                0.62602,                0.52285,                0.30068,                 1.5052,                 2.0609,                 1.9773,                  1.542,                 2.0995,                      2,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.3031,                 1.2208,                 1.4013,                 1.3334,                 1.3693,                 1.3836,                0.47518,                0.55878,                0.45025,                0.24904,                 1.7955,                 2.3483,                 2.5088,                 1.7922,                  2.383,                 2.4832,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.2857,                 1.2022,                 1.3964,                 1.3163,                 1.3486,                 1.3795,                0.62101,                0.61148,                0.63493,                0.37822,                 1.4731,                 1.3789,                 1.8941,                 1.5121,                 1.4453,                 1.9298,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.2949,                 1.1955,                 1.3943,                 1.3308,                 1.3467,                 1.3762,                0.67928,                0.60905,                0.65357,                0.38607,                 1.5502,                  1.406,                 1.9489,                 1.5451,                 1.4575,                 1.9252,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.2945,                 1.1852,                 1.4167,                 1.3269,                 1.3144,                 1.3923,                0.65421,                0.59624,                0.68983,                 0.4108,                 1.5057,                 1.4302,                 1.9346,                 1.5422,                   1.45,                 1.9555,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.2648,                 1.1604,                 1.3971,                 1.3143,                 1.2746,                 1.3845,                0.55686,                0.68534,                0.58916,                0.32765,                 1.4997,                 1.6248,                 1.9153,                 1.5158,                 1.6248,                 1.9172,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.2505,                 1.1647,                 1.3877,                 1.2914,                 1.2747,                 1.3734,                0.52205,                0.63121,                0.55452,                0.30848,                 1.5031,                 1.6102,                 1.9285,                 1.5022,                 1.7334,                 1.9141,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.2625,                 1.1669,                 1.3887,                 1.3072,                 1.2859,                 1.3712,                0.61964,                0.66599,                0.65791,                0.37034,                 1.5282,                 1.1341,                 1.9686,                 1.6026,                 1.1692,                 1.9978,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.2584,                 1.1211,                 1.3846,                 1.3068,                 1.2251,                 1.3704,                0.66449,                0.70479,                0.70271,                0.40688,                 1.4942,                 1.0505,                 1.9466,                 1.5241,                  1.063,                 1.9556,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.2481,                 1.1013,                 1.3792,                 1.2957,                 1.2099,                 1.3673,                0.63783,                0.62431,                0.61002,                 0.3416,                 1.4807,                 1.1678,                 1.9398,                 1.5317,                 1.1724,                 1.9607,             0.00050194,             0.00050194,             0.00050194
