                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                   1.13,                 0.9553,                 1.3911,                 1.2009,                 1.0321,                 1.3992,                0.72951,                0.60129,                0.68839,                0.40523,                 1.4006,                  1.451,                 1.8792,                 1.4597,                 1.4852,                 1.9237,               0.009274,               0.009274,               0.009274
                     25,                 1.1287,                0.93985,                 1.3875,                 1.1956,                 1.0147,                 1.3925,                0.73113,                0.61408,                0.70703,                0.40847,                 1.4926,                 1.4758,                 1.9769,                 1.5406,                 1.4732,                  2.004,               0.009241,               0.009241,               0.009241
                     26,                 1.1127,                0.91857,                 1.3729,                 1.1828,                0.98566,                 1.3818,                0.68144,                0.65917,                0.70611,                0.41706,                 1.4165,                 1.2959,                 1.8875,                 1.4627,                 1.3156,                 1.9194,               0.009208,               0.009208,               0.009208
                     27,                 1.1127,                 0.9173,                 1.3745,                 1.1825,                0.99511,                 1.3842,                 0.7021,                 0.6838,                0.72672,                0.42969,                 1.3941,                 1.1386,                 1.8366,                 1.4623,                 1.1611,                 1.8824,               0.009175,               0.009175,               0.009175
                     28,                 1.1034,                0.90285,                 1.3661,                 1.1737,                0.97699,                 1.3735,                0.65882,                 0.6947,                0.71165,                0.41326,                 1.4178,                 1.2022,                 1.8724,                 1.4699,                 1.2751,                 1.9112,               0.009142,               0.009142,               0.009142
                     29,                 1.1037,                0.89344,                 1.3672,                 1.1724,                0.96137,                 1.3775,                 0.6918,                0.65649,                0.69528,                0.40262,                 1.4325,                 1.5874,                 1.8994,                 1.4804,                 1.5821,                 1.9158,               0.009109,               0.009109,               0.009109
                     30,                 1.0891,                0.87629,                 1.3582,                 1.1595,                0.95162,                 1.3703,                0.67736,                0.68738,                0.69573,                0.40447,                 1.3938,                 1.2649,                 1.8356,                 1.4307,                 1.2895,                  1.852,               0.009076,               0.009076,               0.009076
                     31,                  1.094,                0.87158,                 1.3592,                 1.1624,                0.93728,                 1.3676,                0.70619,                0.65668,                0.73503,                0.42389,                 1.4855,                 1.2535,                 1.9542,                 1.5251,                 1.3021,                 1.9528,               0.009043,               0.009043,               0.009043
                     32,                 1.0843,                0.86969,                 1.3536,                 1.1576,                0.93365,                 1.3651,                0.67296,                0.65862,                0.67095,                0.38112,                 1.4793,                 1.3661,                 1.9451,                 1.5212,                 1.3945,                 1.9513,                0.00901,                0.00901,                0.00901
                     33,                 1.0802,                0.86098,                 1.3527,                  1.152,                0.92351,                 1.3593,                0.67386,                0.68994,                0.69679,                0.40657,                 1.4611,                 1.3265,                  1.948,                 1.4997,                 1.3796,                  1.959,               0.008977,               0.008977,               0.008977
                     34,                 1.0708,                0.84127,                 1.3414,                 1.1407,                0.90921,                 1.3519,                0.70046,                0.66385,                0.71885,                 0.4256,                 1.4442,                 1.2917,                 1.9074,                 1.4811,                 1.2945,                  1.929,               0.008944,               0.008944,               0.008944
                     35,                 1.0672,                 0.8438,                 1.3414,                 1.1374,                0.91162,                 1.3506,                0.72126,                0.64301,                0.69767,                0.40707,                 1.3969,                 1.2203,                 1.8628,                 1.4328,                 1.2166,                  1.883,               0.008911,               0.008911,               0.008911
                     36,                 1.0609,                0.83089,                 1.3352,                  1.133,                0.89356,                 1.3464,                0.71828,                0.64996,                0.73695,                0.44016,                 1.4033,                 1.2726,                 1.8815,                 1.4436,                 1.2731,                 1.8983,               0.008878,               0.008878,               0.008878
                     37,                 1.0568,                0.81777,                  1.333,                 1.1244,                0.88726,                 1.3435,                0.72021,                0.64756,                0.69618,                0.40751,                 1.3929,                 1.2623,                 1.8676,                 1.4362,                 1.3304,                 1.8919,               0.008845,               0.008845,               0.008845
                     38,                  1.056,                0.82327,                 1.3332,                 1.1278,                0.88612,                 1.3377,                0.70549,                0.64675,                0.71014,                0.41824,                 1.4115,                  1.378,                 1.9002,                 1.4649,                 1.4272,                 1.9293,               0.008812,               0.008812,               0.008812
                     39,                 1.0446,                0.81258,                 1.3266,                 1.1131,                0.87766,                 1.3332,                0.68951,                0.67415,                0.71561,                0.41846,                  1.412,                 1.2581,                 1.8968,                 1.4481,                 1.3069,                 1.9064,               0.008779,               0.008779,               0.008779
                     40,                   1.04,                 0.8027,                 1.3199,                 1.1145,                  0.863,                 1.3314,                0.68688,                0.64809,                0.70566,                0.42264,                 1.4014,                 1.3456,                 1.8745,                 1.4219,                 1.4179,                 1.8837,               0.008746,               0.008746,               0.008746
                     41,                 1.0359,                0.80115,                 1.3147,                 1.1072,                0.86169,                 1.3263,                0.69975,                0.65936,                0.69319,                0.41084,                 1.3979,                 1.3518,                 1.8776,                 1.4485,                 1.3997,                 1.9024,               0.008713,               0.008713,               0.008713
                     42,                 1.0341,                0.80273,                 1.3166,                 1.1038,                0.87444,                 1.3296,                0.69502,                0.66533,                0.70314,                0.42419,                 1.3879,                 1.3082,                 1.8687,                 1.4384,                 1.3394,                 1.8903,                0.00868,                0.00868,                0.00868
                     43,                 1.0325,                0.78946,                 1.3175,                 1.1013,                0.85155,                 1.3267,                0.69724,                0.64758,                0.70044,                0.41992,                  1.396,                 1.3965,                 1.8839,                 1.4369,                  1.421,                 1.8942,               0.008647,               0.008647,               0.008647
                     44,                 1.0277,                0.77955,                 1.3114,                 1.1009,                0.83614,                 1.3233,                0.71127,                0.65616,                0.71287,                0.42822,                 1.4025,                 1.2981,                 1.8799,                  1.451,                 1.3242,                 1.8953,               0.008614,               0.008614,               0.008614
                     45,                 1.0234,                0.77973,                 1.3072,                 1.0951,                0.83693,                 1.3185,                 0.7043,                0.65344,                0.71395,                0.42935,                 1.3995,                 1.2526,                 1.8719,                 1.4471,                 1.3002,                 1.8897,               0.008581,               0.008581,               0.008581
