                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2476,                 1.4532,                 1.5401,                 1.3209,                 1.6226,                 1.5297,                 0.5161,                 0.5789,                0.55873,                0.29843,                 1.4017,                 1.4214,                 1.7336,                  1.432,                 1.4854,                 1.7176,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.2506,                 1.4156,                 1.5433,                 1.3087,                 1.5826,                  1.542,                0.54322,                0.55855,                0.56278,                0.30895,                 1.3966,                 1.3869,                 1.7421,                 1.4309,                  1.451,                 1.7531,              0.0011593,              0.0011593,              0.0011593
                     25,                 1.2185,                 1.4066,                 1.5347,                 1.2808,                 1.5708,                 1.5302,                  0.537,                0.53982,                0.54355,                0.28694,                 1.4305,                 1.4122,                 1.7621,                 1.4678,                  1.515,                 1.7489,              0.0011551,              0.0011551,              0.0011551
                     26,                 1.2395,                 1.3996,                 1.5301,                 1.3059,                 1.5548,                 1.5209,                0.53389,                 0.5313,                0.53527,                0.29304,                  1.444,                 1.4184,                 1.7779,                 1.4432,                 1.5626,                 1.7326,               0.001151,               0.001151,               0.001151
                     27,                 1.2169,                 1.3615,                 1.5016,                 1.2777,                 1.5106,                  1.497,                0.56203,                0.55065,                0.57435,                0.30664,                  1.429,                 1.3983,                 1.7447,                 1.4598,                 1.4904,                 1.7435,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.2008,                 1.3827,                 1.5103,                 1.2706,                 1.5546,                 1.5093,                0.51625,                0.57167,                0.56908,                0.30082,                 1.4042,                 1.3861,                  1.714,                 1.4338,                 1.4725,                 1.7034,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.2138,                 1.3643,                 1.5064,                 1.2765,                 1.5136,                 1.5038,                0.57527,                0.49597,                0.53426,                0.29379,                 1.4178,                 1.4467,                 1.7437,                 1.4651,                 1.5219,                 1.7472,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.2015,                 1.3362,                 1.5071,                 1.2689,                 1.4945,                 1.5058,                0.57453,                0.55512,                0.58484,                0.31124,                 1.4299,                  1.402,                 1.7555,                 1.4702,                 1.4746,                  1.754,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.1856,                 1.3244,                 1.5016,                 1.2577,                 1.4679,                 1.5045,                0.59279,                0.55542,                0.58204,                0.32873,                 1.3959,                 1.3305,                 1.7369,                 1.4424,                  1.387,                 1.7334,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.1923,                 1.3067,                 1.5003,                 1.2605,                  1.448,                 1.5016,                 0.5786,                0.58003,                0.59952,                0.33467,                 1.3375,                 1.3569,                 1.6933,                 1.3803,                 1.4359,                 1.6952,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.1607,                 1.2886,                  1.468,                 1.2288,                 1.4459,                 1.4676,                0.59468,                0.58322,                0.61472,                 0.3491,                 1.3713,                 1.2646,                 1.6957,                 1.4041,                 1.3265,                 1.7024,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.1826,                 1.2892,                 1.5008,                 1.2529,                 1.4252,                  1.502,                  0.624,                0.59165,                0.62997,                0.35237,                 1.3854,                 1.2901,                 1.7099,                 1.4304,                 1.3156,                  1.698,               0.001118,               0.001118,               0.001118
                     35,                 1.1555,                 1.2592,                 1.4736,                 1.2305,                 1.3881,                 1.4857,                0.62672,                  0.561,                0.62242,                0.35004,                   1.37,                 1.2685,                 1.7076,                 1.4138,                 1.3137,                 1.7195,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.1481,                 1.2289,                 1.4595,                 1.2173,                  1.361,                 1.4708,                0.59699,                0.57454,                0.60167,                0.34017,                   1.38,                 1.2787,                 1.7106,                 1.4074,                 1.3343,                 1.7278,              0.0011098,              0.0011098,              0.0011098
                     37,                  1.152,                 1.2556,                 1.4704,                 1.2161,                 1.4064,                 1.4688,                0.59675,                0.54906,                0.59531,                0.33213,                 1.3951,                 1.3004,                 1.7105,                 1.4201,                  1.371,                 1.6954,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.1456,                 1.2228,                 1.4584,                 1.2082,                 1.3518,                 1.4599,                0.60425,                0.57184,                0.60488,                0.32703,                 1.4328,                 1.3491,                 1.7587,                 1.4583,                 1.3942,                 1.7341,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.1442,                 1.2161,                 1.4597,                 1.2174,                 1.3471,                 1.4671,                0.65348,                0.59746,                0.64465,                0.35641,                 1.4001,                  1.246,                 1.7204,                 1.4216,                 1.3142,                 1.7023,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.1315,                 1.2033,                  1.445,                 1.2036,                 1.3383,                 1.4461,                0.60747,                0.60231,                0.62662,                0.35248,                 1.3795,                 1.2724,                 1.7023,                 1.4098,                  1.326,                 1.6996,              0.0010933,              0.0010933,              0.0010933
                     41,                  1.119,                 1.1867,                 1.4431,                 1.1872,                 1.3195,                 1.4546,                0.65107,                0.55405,                0.62976,                0.35868,                 1.3346,                 1.3127,                 1.6749,                 1.3564,                 1.3768,                  1.661,              0.0010891,              0.0010891,              0.0010891
