                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3325,                 1.2553,                 1.4581,                 1.4111,                 1.3157,                 1.4526,                 0.6213,                0.54685,                0.59309,                0.33147,                  1.577,                 1.8707,                 2.0741,                 1.5964,                 1.8798,                 2.0613,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.3346,                 1.2398,                 1.4345,                 1.4172,                 1.3091,                 1.4266,                0.61995,                0.55389,                0.61364,                0.35162,                 1.5564,                 2.2367,                 2.0495,                 1.6055,                 2.2081,                 2.1036,             0.00061033,             0.00061033,             0.00061033
                     25,                 1.3301,                 1.2247,                  1.429,                 1.4163,                  1.286,                 1.4247,                0.60102,                0.62748,                0.60761,                0.34497,                  1.612,                 1.6102,                 2.1212,                 1.6179,                 1.7072,                 2.0913,             0.00060561,             0.00060561,             0.00060561
                     26,                 1.3413,                 1.2188,                 1.4373,                 1.4246,                  1.289,                 1.4336,                0.57734,                0.69811,                0.63922,                0.37116,                 1.5918,                 1.5032,                 2.1246,                 1.6262,                 1.5651,                 2.1217,              0.0006009,              0.0006009,              0.0006009
                     27,                 1.3272,                 1.1962,                 1.4312,                 1.4045,                 1.2372,                 1.4237,                0.65511,                0.61072,                0.67657,                0.40217,                 1.5436,                  1.699,                 2.0038,                  1.567,                  1.701,                 2.0219,             0.00059619,             0.00059619,             0.00059619
                     28,                 1.3241,                 1.1937,                 1.4347,                 1.4019,                 1.2646,                   1.43,                0.66275,                0.62156,                0.69692,                0.41891,                 1.6024,                 1.4797,                 2.0958,                 1.6219,                 1.5205,                 2.0797,             0.00059148,             0.00059148,             0.00059148
                     29,                 1.2859,                 1.2048,                 1.4085,                 1.3671,                 1.2893,                 1.4111,                0.63294,                0.55468,                0.59407,                0.33141,                 1.5573,                 1.7144,                 1.9862,                 1.6229,                 1.6995,                 2.0251,             0.00058677,             0.00058677,             0.00058677
                     30,                 1.3152,                 1.1688,                  1.415,                 1.3939,                 1.2149,                 1.4065,                0.59844,                0.63689,                0.65525,                0.37222,                 1.5977,                   1.52,                 2.0676,                 1.6207,                 1.4362,                 2.0811,             0.00058205,             0.00058205,             0.00058205
                     31,                 1.2911,                 1.1535,                 1.3993,                 1.3703,                 1.2256,                 1.3918,                0.58588,                0.60382,                0.60361,                0.35418,                 1.6332,                 1.7367,                 2.1424,                 1.6656,                  1.723,                 2.1412,             0.00057734,             0.00057734,             0.00057734
                     32,                 1.2896,                 1.1256,                 1.4025,                 1.3678,                  1.178,                 1.3976,                0.62097,                0.63998,                 0.6507,                0.37874,                 1.5679,                  1.566,                  2.097,                 1.6148,                 1.5109,                 2.1339,             0.00057263,             0.00057263,             0.00057263
                     33,                  1.316,                 1.1161,                  1.419,                 1.3821,                 1.1744,                 1.4108,                0.58043,                0.69373,                0.67446,                0.38422,                 1.6789,                 1.5024,                 2.2077,                 1.6956,                 1.4562,                 2.1759,             0.00056792,             0.00056792,             0.00056792
                     34,                 1.2667,                 1.1089,                 1.3906,                 1.3517,                 1.1738,                 1.3855,                0.69569,                 0.6296,                0.69942,                0.40431,                 1.5905,                 1.5407,                 2.0671,                 1.6457,                   1.53,                 2.0957,              0.0005632,              0.0005632,              0.0005632
                     35,                 1.2803,                 1.0941,                 1.4099,                 1.3671,                 1.1504,                 1.4082,                0.65457,                 0.6609,                0.69201,                0.41199,                 1.5584,                  1.369,                 1.9868,                 1.6346,                 1.4424,                 2.0267,             0.00055849,             0.00055849,             0.00055849
                     36,                 1.2913,                 1.0982,                 1.4076,                 1.3735,                 1.1549,                 1.4007,                0.64813,                0.64328,                0.70392,                0.40398,                 1.5476,                 1.1522,                 2.0092,                 1.6029,                 1.1855,                 2.0402,             0.00055378,             0.00055378,             0.00055378
                     37,                  1.284,                 1.1014,                 1.3962,                 1.3657,                 1.1633,                 1.3899,                0.70806,                0.56704,                0.69731,                0.40406,                 1.5265,                 1.6966,                 1.9905,                 1.5851,                 1.6794,                 2.0176,             0.00054907,             0.00054907,             0.00054907
                     38,                 1.2733,                 1.0827,                 1.3886,                 1.3534,                 1.1466,                 1.3893,                0.65392,                  0.662,                0.67662,                0.38097,                 1.6119,                 1.4062,                 2.1224,                 1.6177,                  1.381,                  2.093,             0.00054435,             0.00054435,             0.00054435
                     39,                 1.2659,                 1.0882,                  1.387,                 1.3423,                 1.1426,                 1.3841,                0.66882,                0.61758,                0.64992,                0.37109,                 1.5731,                 1.6003,                 2.0419,                 1.5956,                 1.6348,                  2.041,             0.00053964,             0.00053964,             0.00053964
                     40,                 1.2841,                 1.0419,                 1.3843,                 1.3691,                 1.0986,                 1.3911,                0.73778,                0.59707,                0.73462,                0.44031,                 1.5639,                 1.2157,                 2.0297,                 1.6004,                 1.2505,                 2.0313,             0.00053493,             0.00053493,             0.00053493
                     41,                 1.2452,                 1.0617,                 1.3891,                 1.3225,                 1.1234,                 1.3936,                0.69346,                0.65758,                0.73609,                0.42987,                 1.5244,                 1.1235,                 2.0014,                  1.539,                 1.1817,                  1.986,             0.00053022,             0.00053022,             0.00053022
                     42,                 1.2514,                 1.0352,                 1.3734,                 1.3193,                 1.0784,                  1.372,                 0.7023,                0.62409,                0.71505,                0.41031,                  1.491,                 1.3684,                 1.9735,                 1.5105,                 1.4138,                 1.9641,              0.0005255,              0.0005255,              0.0005255
