                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1971,                 1.2756,                 1.4471,                 1.2734,                 1.3928,                 1.4514,                0.60759,                0.56465,                0.61692,                0.31879,                 1.4727,                 1.3897,                 1.6744,                  1.552,                 1.4218,                 1.6952,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.1661,                 1.2451,                 1.4036,                 1.2363,                 1.3938,                 1.4031,                0.58208,                0.54952,                0.57395,                0.31547,                 1.4352,                 1.4532,                 1.6287,                 1.4852,                 1.4829,                 1.6494,             0.00061033,             0.00061033,             0.00061033
                     25,                 1.1532,                 1.2043,                 1.3998,                 1.2431,                 1.3226,                 1.4112,                0.62874,                0.63272,                0.66401,                0.37622,                 1.3915,                  1.242,                 1.5894,                 1.4577,                  1.275,                 1.6002,             0.00060561,             0.00060561,             0.00060561
                     26,                 1.1576,                 1.1531,                 1.3982,                 1.2296,                 1.2817,                 1.3932,                0.60005,                0.58089,                0.60634,                0.32386,                 1.4403,                 1.3822,                 1.6331,                 1.5159,                  1.459,                 1.6615,              0.0006009,              0.0006009,              0.0006009
                     27,                 1.1342,                 1.1716,                 1.3756,                 1.2131,                 1.2749,                 1.3834,                0.60962,                0.55676,                0.61361,                0.33926,                  1.366,                 1.3663,                 1.5711,                 1.4222,                 1.4168,                 1.5893,             0.00059619,             0.00059619,             0.00059619
                     28,                 1.1168,                 1.1666,                 1.3686,                 1.1966,                 1.2888,                 1.3737,                0.67602,                0.60392,                0.67352,                0.37227,                  1.359,                 1.2727,                 1.5562,                 1.4208,                 1.3015,                 1.5843,             0.00059148,             0.00059148,             0.00059148
                     29,                 1.1273,                 1.1585,                 1.3779,                 1.2146,                 1.2674,                 1.3881,                0.62495,                0.64695,                0.66825,                0.37262,                 1.3798,                  1.243,                 1.5778,                 1.4337,                 1.2564,                 1.5888,             0.00058677,             0.00058677,             0.00058677
                     30,                 1.1399,                 1.1504,                 1.3841,                 1.2195,                 1.2642,                 1.3985,                0.68499,                0.61805,                0.67866,                0.38537,                 1.3566,                 1.2061,                 1.5662,                  1.411,                 1.2213,                 1.5808,             0.00058205,             0.00058205,             0.00058205
                     31,                 1.1084,                 1.0782,                 1.3612,                 1.1946,                 1.1612,                 1.3761,                0.63293,                0.57749,                0.63293,                0.34264,                 1.4227,                 1.3571,                 1.6354,                 1.4898,                 1.4005,                 1.6568,             0.00057734,             0.00057734,             0.00057734
                     32,                  1.139,                 1.1219,                 1.3952,                 1.2213,                 1.2291,                 1.4079,                0.68715,                0.60769,                0.68084,                 0.3862,                 1.3576,                 1.2174,                  1.562,                 1.4304,                 1.2131,                 1.6042,             0.00057263,             0.00057263,             0.00057263
                     33,                 1.0979,                 1.0895,                 1.3527,                 1.1963,                 1.2024,                 1.3762,                 0.6412,                0.60403,                0.64772,                0.36095,                 1.3743,                 1.3276,                 1.5555,                 1.4344,                 1.3628,                 1.5902,             0.00056792,             0.00056792,             0.00056792
                     34,                  1.104,                 1.1153,                 1.3828,                  1.182,                 1.2253,                 1.3868,                0.63802,                0.64045,                0.67809,                0.38785,                 1.3337,                 1.1777,                 1.5724,                 1.3884,                 1.2121,                 1.5824,              0.0005632,              0.0005632,              0.0005632
                     35,                 1.0734,                 1.0701,                 1.3495,                  1.151,                 1.1873,                 1.3569,                 0.5876,                0.64336,                0.65036,                0.36404,                 1.4197,                 1.2732,                 1.6392,                 1.4716,                 1.3029,                 1.6445,             0.00055849,             0.00055849,             0.00055849
                     36,                  1.088,                 1.0792,                 1.3525,                 1.1584,                 1.1667,                 1.3547,                0.63899,                0.66572,                0.69571,                0.40033,                  1.341,                 1.1834,                 1.5516,                 1.3912,                 1.2027,                 1.5705,             0.00055378,             0.00055378,             0.00055378
                     37,                 1.0715,                 1.0419,                 1.3416,                 1.1578,                 1.1295,                 1.3588,                0.65351,                0.62201,                0.66744,                   0.38,                 1.3489,                 1.1993,                 1.5531,                 1.3989,                 1.2543,                 1.5741,             0.00054907,             0.00054907,             0.00054907
                     38,                 1.0724,                 1.0356,                 1.3246,                  1.154,                 1.1288,                 1.3473,                0.65632,                0.59998,                0.63807,                0.35935,                 1.3874,                 1.2474,                 1.5726,                 1.4308,                  1.272,                  1.589,             0.00054435,             0.00054435,             0.00054435
                     39,                 1.0306,                 1.0236,                 1.3225,                  1.107,                 1.1246,                 1.3445,                0.64998,                0.63023,                0.68446,                0.38769,                 1.3425,                 1.1692,                 1.5731,                 1.3955,                  1.219,                 1.6025,             0.00053964,             0.00053964,             0.00053964
                     40,                 1.0633,                 1.0395,                 1.3279,                 1.1505,                 1.1344,                 1.3525,                0.65903,                0.63505,                0.68695,                0.39669,                 1.3503,                 1.1714,                 1.5696,                 1.3789,                 1.2285,                 1.5636,             0.00053493,             0.00053493,             0.00053493
                     41,                 1.0421,                 1.0009,                 1.3258,                 1.1248,                 1.0804,                 1.3429,                0.66274,                0.65025,                0.68255,                0.39336,                 1.3506,                 1.1604,                 1.5851,                 1.4076,                 1.2543,                 1.6108,             0.00053022,             0.00053022,             0.00053022
                     42,                 1.0149,                0.98349,                 1.3008,                 1.0901,                 1.0856,                 1.3272,                0.70316,                0.61803,                0.67965,                0.38372,                 1.3984,                 1.1994,                 1.5594,                 1.4545,                 1.2099,                 1.5823,              0.0005255,              0.0005255,              0.0005255
                     43,                 1.0283,                0.97554,                 1.3154,                 1.1216,                 1.0696,                 1.3403,                0.67246,                0.66904,                0.72216,                0.41207,                 1.3391,                 1.1305,                 1.5511,                 1.3949,                 1.1487,                 1.5689,             0.00052079,             0.00052079,             0.00052079
                     44,                 1.0199,                0.96076,                 1.2951,                 1.0876,                 1.0507,                 1.3055,                0.66517,                0.64526,                0.69112,                0.39081,                 1.3451,                 1.1917,                 1.5613,                 1.4002,                 1.2029,                 1.5832,             0.00051608,             0.00051608,             0.00051608
                     45,                 1.0253,                0.96029,                 1.3179,                 1.1049,                 1.0512,                 1.3387,                0.69858,                0.63151,                0.70313,                0.39443,                 1.3904,                 1.1559,                 1.5915,                 1.4407,                 1.1923,                 1.5955,             0.00051137,             0.00051137,             0.00051137
