                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0662,                0.86202,                 1.2809,                 1.1643,                0.93355,                 1.2985,                0.72385,                0.69375,                0.74593,                0.42108,                 1.4024,                 1.0782,                  1.499,                 1.4663,                 1.1322,                 1.5202,               0.009274,               0.009274,               0.009274
                     25,                 1.0529,                0.85483,                 1.2697,                 1.1493,                0.93473,                 1.2867,                0.75801,                0.70272,                0.75708,                0.43398,                 1.3641,                 1.0273,                 1.4554,                 1.4522,                  1.053,                 1.4606,               0.009241,               0.009241,               0.009241
                     26,                 1.0455,                0.84335,                 1.2641,                 1.1459,                0.91687,                 1.2835,                0.76029,                0.68528,                0.76868,                0.43783,                 1.4186,                 1.0438,                  1.486,                 1.4782,                  1.094,                 1.4855,               0.009208,               0.009208,               0.009208
                     27,                 1.0377,                0.82635,                 1.2582,                 1.1387,                 0.9048,                 1.2782,                0.74578,                0.68771,                 0.7513,                0.43272,                 1.3776,                 1.0447,                 1.4559,                 1.4327,                 1.1317,                 1.4736,               0.009175,               0.009175,               0.009175
                     28,                  1.029,                0.81335,                 1.2568,                 1.1301,                0.88293,                 1.2792,                0.78505,                0.66638,                0.77029,                0.43586,                 1.4007,                 1.0339,                 1.4717,                 1.4686,                 1.0745,                 1.4872,               0.009142,               0.009142,               0.009142
                     29,                 1.0278,                0.80921,                 1.2478,                 1.1263,                0.87965,                 1.2679,                0.74962,                0.72217,                 0.7886,                0.45301,                 1.3762,                0.94381,                 1.4687,                  1.435,                0.99277,                 1.4712,               0.009109,               0.009109,               0.009109
                     30,                 1.0111,                0.79723,                 1.2403,                  1.112,                0.86505,                  1.263,                0.73976,                  0.706,                0.74761,                0.42922,                 1.3622,                 1.0387,                 1.4622,                 1.4374,                 1.1372,                 1.4769,               0.009076,               0.009076,               0.009076
                     31,                  1.004,                0.78052,                 1.2338,                 1.1046,                0.83902,                 1.2554,                0.77157,                0.69292,                 0.7715,                0.44522,                 1.3672,                 1.0112,                 1.4622,                 1.4307,                 1.0444,                 1.4913,               0.009043,               0.009043,               0.009043
                     32,                 1.0009,                0.77169,                 1.2304,                 1.1001,                 0.8361,                   1.25,                0.74005,                0.70777,                   0.75,                0.42682,                 1.4203,                 1.0279,                 1.5114,                 1.4643,                 1.1963,                 1.4916,                0.00901,                0.00901,                0.00901
                     33,                0.98732,                 0.7651,                 1.2259,                 1.0842,                0.82657,                  1.246,                0.74631,                0.71377,                 0.7534,                0.43545,                 1.3899,                 1.0058,                 1.4949,                 1.4627,                 1.0737,                 1.4986,               0.008977,               0.008977,               0.008977
                     34,                0.98918,                0.76802,                 1.2245,                 1.0896,                0.82111,                 1.2432,                0.76233,                0.73064,                0.78204,                0.45942,                 1.3638,                0.97388,                 1.4662,                 1.4387,                 1.0132,                 1.4719,               0.008944,               0.008944,               0.008944
                     35,                0.97403,                0.74871,                 1.2163,                 1.0731,                0.80291,                 1.2355,                0.73404,                0.73279,                0.77694,                0.44764,                 1.3868,                0.97966,                 1.5017,                 1.4487,                 1.0466,                 1.5244,               0.008911,               0.008911,               0.008911
                     36,                 0.9695,                0.74278,                  1.213,                  1.068,                0.80563,                 1.2326,                0.75556,                0.72301,                 0.7696,                0.44852,                 1.4033,                0.97577,                 1.5266,                 1.4552,                 1.0493,                  1.524,               0.008878,               0.008878,               0.008878
                     37,                0.97284,                0.73481,                 1.2084,                 1.0695,                0.79286,                 1.2278,                0.79048,                0.70427,                 0.7662,                0.44279,                 1.4031,                0.98681,                 1.5219,                 1.4463,                  1.089,                 1.5058,               0.008845,               0.008845,               0.008845
                     38,                0.95489,                0.72829,                 1.1994,                 1.0522,                0.78397,                 1.2224,                0.78378,                0.70235,                0.76645,                0.44699,                 1.3564,                 1.0029,                 1.4809,                 1.4223,                 1.0704,                 1.4919,               0.008812,               0.008812,               0.008812
                     39,                  0.943,                0.71915,                 1.1958,                 1.0395,                0.77795,                 1.2199,                0.78332,                0.70959,                0.77534,                 0.4514,                 1.3927,                 1.0217,                 1.5108,                 1.4748,                 1.0551,                   1.53,               0.008779,               0.008779,               0.008779
                     40,                0.94354,                0.70782,                 1.1933,                 1.0411,                 0.7598,                 1.2185,                0.79959,                0.68387,                0.76777,                0.44872,                 1.3644,                 1.0384,                 1.4816,                 1.4232,                 1.1518,                 1.4805,               0.008746,               0.008746,               0.008746
                     41,                0.93806,                0.71717,                 1.1912,                 1.0374,                0.77698,                  1.212,                0.79502,                0.69439,                 0.7737,                0.45183,                 1.3861,                 1.0249,                 1.5376,                 1.4332,                 1.1619,                 1.5062,               0.008713,               0.008713,               0.008713
                     42,                0.93719,                  0.707,                 1.1922,                 1.0311,                0.76245,                 1.2126,                 0.7674,                 0.7142,                  0.779,                0.45576,                 1.3436,                  1.028,                 1.4662,                 1.4046,                 1.1198,                  1.483,                0.00868,                0.00868,                0.00868
                     43,                0.92932,                0.69038,                 1.1831,                 1.0231,                 0.7472,                 1.2034,                0.76966,                0.71911,                0.77678,                0.44952,                 1.3726,                 1.0488,                 1.5134,                 1.4296,                 1.1296,                 1.5088,               0.008647,               0.008647,               0.008647
                     44,                 0.9245,                0.68918,                 1.1789,                 1.0202,                0.73761,                 1.1997,                0.74717,                0.73873,                0.78336,                0.46205,                 1.3446,                 1.0103,                 1.4625,                 1.4078,                 1.0741,                  1.469,               0.008614,               0.008614,               0.008614
                     45,                0.91081,                0.68556,                 1.1751,                 1.0071,                0.74106,                 1.1972,                0.76577,                0.73229,                0.79022,                0.45888,                 1.3708,                0.98948,                 1.5214,                 1.4229,                 1.0941,                  1.522,               0.008581,               0.008581,               0.008581
                     46,                0.91683,                0.68512,                 1.1728,                 1.0139,                0.73388,                 1.1968,                0.76487,                0.71663,                0.77978,                0.45322,                 1.3356,                0.97565,                 1.4766,                  1.411,                 1.0705,                 1.4976,               0.008548,               0.008548,               0.008548
                     47,                0.90163,                 0.6709,                 1.1628,                 0.9972,                0.72619,                 1.1848,                0.75666,                0.71777,                0.78709,                0.46543,                  1.346,                0.98897,                 1.4765,                 1.4033,                 1.0897,                 1.4795,               0.008515,               0.008515,               0.008515
                     48,                0.90242,                0.66721,                 1.1674,                0.99957,                0.71711,                 1.1903,                0.76291,                0.73284,                0.79355,                0.46415,                  1.368,                0.99314,                 1.5129,                 1.4389,                  1.084,                 1.5153,               0.008482,               0.008482,               0.008482
                     49,                0.90527,                0.67241,                 1.1713,                0.99868,                0.72109,                 1.1952,                0.77124,                0.74299,                0.78848,                0.45424,                 1.3991,                0.98353,                 1.5251,                 1.4336,                 1.0892,                 1.5155,               0.008449,               0.008449,               0.008449
                     50,                0.89282,                0.66185,                 1.1621,                0.99096,                0.71379,                 1.1915,                0.78666,                 0.7282,                0.79667,                0.46652,                 1.3821,                0.97398,                 1.5203,                 1.4376,                 1.0393,                 1.5204,               0.008416,               0.008416,               0.008416
                     51,                0.89088,                0.65919,                 1.1592,                0.98157,                  0.715,                 1.1816,                0.77607,                0.73951,                0.79076,                0.46064,                 1.3603,                0.94649,                 1.4929,                 1.4246,                 1.0544,                  1.493,               0.008383,               0.008383,               0.008383
                     52,                0.88474,                0.64987,                 1.1564,                 0.9772,                0.69947,                  1.176,                0.80662,                0.72997,                 0.7978,                0.46539,                 1.3874,                0.94937,                 1.5274,                 1.4383,                 1.0065,                 1.5227,                0.00835,                0.00835,                0.00835
                     53,                 0.8844,                0.64533,                  1.155,                0.97998,                0.69705,                 1.1768,                0.77261,                0.75456,                0.79401,                 0.4629,                 1.3614,                0.96461,                 1.5025,                 1.4284,                 1.0582,                 1.5146,               0.008317,               0.008317,               0.008317
                     54,                0.87735,                 0.6411,                  1.149,                0.96904,                0.68564,                 1.1726,                0.78068,                0.73094,                0.78158,                0.45552,                 1.3429,                0.98767,                 1.4977,                 1.4113,                 1.0674,                 1.5146,               0.008284,               0.008284,               0.008284
                     55,                0.87676,                 0.6363,                 1.1477,                 0.9688,                0.67827,                 1.1651,                0.79118,                 0.7368,                 0.7902,                0.46191,                 1.3353,                 0.9979,                  1.485,                 1.4001,                 1.0895,                  1.489,               0.008251,               0.008251,               0.008251
                     56,                0.86702,                0.63605,                 1.1449,                0.96089,                0.68045,                 1.1685,                0.77308,                0.73244,                0.78926,                0.46177,                 1.3743,                0.97683,                 1.5174,                 1.4168,                 1.0729,                 1.5086,               0.008218,               0.008218,               0.008218
                     57,                 0.8624,                0.62942,                 1.1407,                0.95495,                0.67648,                 1.1656,                0.77766,                0.72625,                0.78551,                0.45811,                 1.3694,                 1.0049,                 1.5078,                 1.4386,                 1.1209,                 1.5157,               0.008185,               0.008185,               0.008185
                     58,                0.85901,                0.62612,                 1.1383,                0.94907,                 0.6716,                 1.1584,                0.78937,                0.72323,                0.79253,                0.46441,                 1.3722,                0.98132,                 1.5025,                 1.4458,                   1.07,                 1.4993,               0.008152,               0.008152,               0.008152
                     59,                 0.8569,                0.61987,                 1.1384,                0.94898,                0.65888,                 1.1607,                0.80318,                0.71497,                0.79167,                0.46673,                 1.3377,                0.96797,                 1.4741,                 1.4279,                 1.0708,                 1.4903,               0.008119,               0.008119,               0.008119
                     60,                0.86051,                 0.6244,                 1.1403,                0.95148,                 0.6701,                  1.161,                0.79774,                0.71614,                0.78246,                0.45871,                 1.3631,                0.97118,                 1.5085,                 1.4307,                 1.0885,                  1.514,               0.008086,               0.008086,               0.008086
                     61,                0.84383,                0.61328,                 1.1311,                0.93779,                0.65784,                 1.1523,                0.77689,                0.74163,                 0.7893,                0.46129,                 1.3571,                 0.9895,                 1.5235,                 1.4176,                 1.1191,                 1.5189,               0.008053,               0.008053,               0.008053
                     62,                0.84459,                0.60485,                 1.1307,                0.93464,                0.64431,                 1.1507,                0.79616,                0.73167,                 0.7882,                0.45781,                 1.3684,                0.99899,                 1.5301,                 1.4382,                 1.0998,                 1.5426,                0.00802,                0.00802,                0.00802
                     63,                0.84393,                0.61018,                 1.1312,                0.93241,                0.65267,                 1.1535,                0.79944,                0.70884,                0.78272,                0.45433,                 1.3728,                 1.0081,                 1.5448,                 1.4439,                 1.1292,                 1.5497,               0.007987,               0.007987,               0.007987
                     64,                 0.8388,                0.60443,                  1.128,                0.93292,                0.64609,                 1.1496,                0.80525,                0.69927,                0.78258,                0.45887,                 1.3673,                 1.0223,                 1.5319,                 1.4346,                 1.1488,                 1.5315,               0.007954,               0.007954,               0.007954
                     65,                0.83491,                0.60573,                 1.1271,                0.92615,                0.64666,                 1.1496,                0.78082,                0.71514,                0.78055,                0.45927,                 1.3476,                 1.0058,                 1.5019,                 1.4274,                 1.1082,                 1.5137,               0.007921,               0.007921,               0.007921
                     66,                 0.8313,                0.59334,                 1.1196,                0.92405,                0.63245,                 1.1416,                0.80064,                0.70641,                0.78535,                0.46082,                 1.3526,                0.99217,                 1.5032,                 1.4159,                 1.1322,                 1.5047,               0.007888,               0.007888,               0.007888
                     67,                0.83407,                 0.5955,                 1.1214,                0.92559,                0.64006,                 1.1438,                0.76997,                0.73247,                0.78423,                0.45863,                 1.3554,                 1.0048,                  1.515,                 1.4105,                 1.1515,                 1.5104,               0.007855,               0.007855,               0.007855
