                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3589,                 1.3986,                 1.5625,                 1.4234,                 1.4911,                  1.546,                0.52961,                 0.5897,                0.62146,                0.34225,                 1.6037,                  1.702,                 2.1813,                 1.6322,                 1.6997,                  2.156,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.3562,                 1.3784,                 1.5637,                 1.4362,                 1.4638,                 1.5433,                0.49747,                 0.6581,                0.58252,                0.32277,                 1.5571,                 1.6872,                 2.1322,                 1.5828,                 1.7314,                 2.1467,             0.00061033,             0.00061033,             0.00061033
                     25,                 1.3481,                 1.3642,                 1.5567,                 1.3961,                 1.4444,                 1.5351,                0.50692,                0.66678,                0.59402,                0.34171,                 1.5664,                 1.8953,                 2.1248,                 1.6008,                 1.9784,                 2.1255,             0.00060561,             0.00060561,             0.00060561
                     26,                 1.3467,                  1.362,                 1.5408,                 1.4153,                 1.4554,                 1.5233,                0.52521,                0.54386,                0.53324,                0.29998,                 1.6019,                 1.9976,                 2.1031,                 1.6217,                 2.0139,                 2.0759,              0.0006009,              0.0006009,              0.0006009
                     27,                 1.3255,                  1.319,                 1.5385,                 1.3827,                 1.4025,                 1.5189,                0.60568,                0.63844,                0.66323,                0.38766,                 1.6667,                 1.3156,                 2.2866,                 1.6732,                 1.3689,                 2.2477,             0.00059619,             0.00059619,             0.00059619
                     28,                 1.3376,                 1.3146,                 1.5455,                 1.4044,                 1.3898,                  1.526,                0.58168,                0.60083,                0.58458,                0.33028,                 1.5909,                 1.5713,                 2.1374,                 1.6317,                 1.6021,                 2.1356,             0.00059148,             0.00059148,             0.00059148
                     29,                 1.3089,                 1.2925,                 1.5292,                 1.3572,                 1.3782,                 1.5054,                0.61321,                0.55773,                0.58228,                0.32247,                 1.5701,                  1.735,                   2.11,                 1.6223,                 1.7503,                 2.1078,             0.00058677,             0.00058677,             0.00058677
                     30,                 1.3369,                 1.2991,                 1.5346,                 1.3796,                  1.395,                 1.5056,                 0.5137,                 0.6253,                0.52556,                0.29308,                 1.6435,                 1.9308,                 2.2797,                 1.6702,                  1.928,                 2.2599,             0.00058205,             0.00058205,             0.00058205
                     31,                 1.3306,                 1.3053,                 1.5333,                 1.3952,                 1.3949,                 1.5184,                0.61027,                0.61498,                0.62366,                0.36532,                 1.5691,                 1.5921,                 2.0982,                 1.5983,                 1.6844,                 2.1129,             0.00057734,             0.00057734,             0.00057734
                     32,                 1.3103,                 1.2501,                 1.5248,                   1.36,                 1.3347,                 1.5071,                0.63061,                0.64396,                0.62828,                 0.3527,                 1.6638,                 1.5046,                 2.3119,                  1.675,                 1.4659,                 2.2997,             0.00057263,             0.00057263,             0.00057263
                     33,                 1.3114,                 1.2458,                 1.5214,                 1.3647,                 1.3159,                 1.5008,                0.54345,                0.66512,                0.61905,                0.36391,                 1.6442,                 1.8899,                 2.2587,                 1.6588,                 1.8218,                 2.2423,             0.00056792,             0.00056792,             0.00056792
                     34,                 1.3052,                 1.2647,                 1.5294,                 1.3589,                 1.3518,                 1.5072,                0.55522,                0.59011,                0.61804,                0.35523,                 1.5528,                 1.7712,                 2.1112,                 1.6087,                 1.7795,                 2.1452,              0.0005632,              0.0005632,              0.0005632
                     35,                 1.3039,                 1.2641,                 1.5159,                 1.3565,                 1.3512,                 1.4987,                0.57731,                0.66541,                0.64251,                0.37796,                 1.5731,                 1.8108,                  2.148,                 1.6329,                 1.7648,                 2.2064,             0.00055849,             0.00055849,             0.00055849
                     36,                 1.3007,                 1.2337,                 1.5107,                 1.3663,                 1.3094,                 1.5001,                0.58981,                0.66299,                0.66758,                0.39222,                 1.5861,                 1.7529,                 2.1775,                 1.6039,                 1.6842,                 2.1764,             0.00055378,             0.00055378,             0.00055378
                     37,                  1.299,                 1.2058,                 1.5102,                 1.3727,                 1.2863,                  1.498,                0.56795,                 0.6683,                0.68184,                 0.3996,                 1.5358,                 1.3466,                  2.094,                 1.5502,                 1.3789,                 2.0877,             0.00054907,             0.00054907,             0.00054907
                     38,                 1.2971,                 1.2283,                  1.502,                 1.3463,                 1.3183,                 1.4842,                0.59087,                0.63586,                0.58493,                0.33329,                 1.5846,                  1.858,                 2.1678,                 1.6117,                 1.8519,                 2.1791,             0.00054435,             0.00054435,             0.00054435
                     39,                 1.2845,                 1.1789,                 1.4958,                 1.3379,                 1.2558,                 1.4817,                 0.5954,                0.67236,                0.70086,                0.41795,                 1.5364,                 1.6194,                 2.1104,                 1.5251,                 1.6464,                 2.0965,             0.00053964,             0.00053964,             0.00053964
                     40,                 1.2963,                 1.1915,                 1.5004,                 1.3631,                 1.2712,                 1.4916,                0.59226,                 0.6882,                0.65213,                0.37202,                 1.6032,                 1.5625,                 2.1502,                  1.604,                 1.5368,                 2.1747,             0.00053493,             0.00053493,             0.00053493
                     41,                 1.2964,                 1.2003,                 1.5068,                 1.3437,                 1.2825,                 1.4888,                0.59205,                0.71304,                0.64422,                0.36398,                 1.5998,                  1.372,                  2.151,                 1.6255,                  1.393,                 2.1763,             0.00053022,             0.00053022,             0.00053022
